Month,total_runs,average_laps,max_laps,min_laps
2018-05,3,5.333333333333333,6,5
2018-06,27,8.333333333333334,13,3
2018-07,49,6.3061224489795915,16,1
2018-08,51,7.431372549019608,18,1
2018-09,56,5.303571428571429,18,1
2018-10,74,3.77027027027027,15,1
2018-11,41,3.926829268292683,14,1
2018-12,5,7.2,9,5
2019-01,70,4.442857142857143,16,1
2019-02,50,6.56,17,1
2019-03,47,7.617021276595745,19,1
2019-04,59,5.254237288135593,17,1
2019-05,8,4.5,10,1
2019-07,12,5.75,8,5
2019-08,16,4.5625,7,1
2019-09,18,4.888888888888889,6,3
2019-10,6,4.166666666666667,5,3
2019-11,3,5.0,6,4
2020-01,1,3.0,3,3
2020-02,1,5.0,5,5
2020-03,10,3.9,5,2
2020-04,20,5.25,8,4
2020-05,23,5.6521739130434785,7,3
2020-06,25,6.52,9,5
2020-07,14,6.214285714285714,8,4
